Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Observation-level footnotes,COMMENT_OBS,Value
1983,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,45.97767
1984,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,30.10238
1985,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,35.72789
1986,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,36.6801
1987,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,31.10656
1988,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,30.08032
1989,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,42.14904
1990,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,61.64129
1991,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,85.89735
1992,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,106.52926
1993,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,96.25767
1994,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,86.46673
1995,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,63.33689
1996,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,61.84991
1997,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,62.49724
1998,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,59.94089
1999,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,59.11775
2000,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,58.09045
2001,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,66.57839
2002,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,66.50298
2003,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,70.75517
2004,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,62.00097
2005,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,49.74304
2006,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,13.36937
2007,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,14.16025
2008,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,16.17163
2009,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,11.17634
2010,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,11.34001
2011,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,11.88966
2012,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,14.12746
2013,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,30.2751
2014,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,27.14973
2015,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,30.13522
2016,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,35.15339
2017,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,38.88199
2018,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,38.484
2019,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,40.56996
2020,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,46.53501
2005,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,9.43329
2006,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,9.95713
2007,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,9.37567
2008,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,11.77888
2009,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,11.94555
2010,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,11.33823
2011,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,12.83479
2012,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,12.73266
2013,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,12.36847
2014,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,13.01752
2015,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,13.0391
2016,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,11.69436
2017,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,13.80647
2018,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,13.90159
2019,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,13.66713
2020,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,13.37171
1980,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.08004
1981,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.90484
1982,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.79267
1983,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.35161
1984,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.00732
1985,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.84136
1986,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.66093
1987,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.92047
1988,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.75468
1989,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.19934
1990,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.71902
1991,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.01633
1992,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.49497
1993,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.09905
1994,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.15711
1995,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.43532
1996,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.64247
1997,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.30164
1998,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.45394
1999,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.82976
2000,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,6.16042
2001,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.15516
2002,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,6.65568
2003,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.4645
2004,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.02241
2005,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,6.10183
2006,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,6.61052
2007,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.20364
2008,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.85973
2009,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,6.37257
2010,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.99573
2011,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.9869
2012,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.59111
2013,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.99431
2014,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.75676
2015,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.47519
2016,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.17868
2017,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.49207
2018,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.13998
1966,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.45775
1967,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.18043
1968,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.57382
1969,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.74081
1970,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.12702
1971,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,8.58349
1972,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,8.28316
1973,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,13.82073
1974,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,32.74345
1975,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,16.69029
1976,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,13.8887
1977,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,9.2017
1978,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.64804
1979,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,14.91599
1980,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,61.23567
1981,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.69313
1982,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.43139
1983,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.66938
1984,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.13213
1985,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,18.443
1986,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,22.1289
1987,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,16.40776
1988,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,13.07978
1989,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,27.27225
1990,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.43387
1991,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.88356
1992,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.90883
1993,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.35873
1994,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.58994
1995,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.50039
1996,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.43178
1997,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.36511
1998,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.34885
1999,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.22889
2000,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.23518
2001,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.95573
2002,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.25899
2003,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.19593
2004,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.04568
2005,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.32814
2006,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.09724
2007,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.97067
2008,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.48247
2009,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.17625
2010,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.7097
2011,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.74558
2012,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.51404
2013,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.55833
2014,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.83498
2015,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.09807
2016,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.79822
2017,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.64582
2018,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.90366
1967,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,3.22772
1968,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.99837
1969,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,11.58953
1970,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.5688
1971,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-1.15617
1972,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,28.86667
1973,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,35.11264
1974,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,33.89258
1975,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,21.14595
1976,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,32.72961
1977,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.3866
1978,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,25.53932
1979,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,46.99575
1980,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,34.81302
1981,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,85.96025
1982,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,11.48989
1983,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,40.03266
1984,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,110.7382
1985,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,127.42729
1986,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,174.42777
1987,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,153.38883
1988,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,117.66404
1989,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,68.57147
1990,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,60.24091
1991,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,51.66345
1992,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,66.48933
1993,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,57.21897
1994,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,35.80456
1995,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,13.94462
1996,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.34659
1997,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.41757
