Year,COMMENT_OBS,SOURCE_DETAIL,Composite breakdown,Observation-level footnotes,Source details,Value
2013,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Human resources,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,40
2017,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Human resources,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,60
2010,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Laboratory,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,81
2011,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Laboratory,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,60
2012,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Laboratory,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,86
2013,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Laboratory,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,100
2017,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Laboratory,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,100
2010,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Points of entry,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,12
2011,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Points of entry,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,0
2012,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Points of entry,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,0
2013,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Points of entry,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,9
2017,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Points of entry,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,0
2010,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Zoonotic events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,69
2011,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Zoonotic events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,89
2012,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Zoonotic events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,67
2013,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Zoonotic events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,100
2017,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Zoonotic events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,56
2010,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Food safety,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,6
2011,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Food safety,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,75
2012,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Food safety,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,53
2013,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Food safety,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,87
2017,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Food safety,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,20
2010,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Chemical events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,7
2011,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Chemical events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,58
2012,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Chemical events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,8
2013,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Chemical events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,38
2017,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Chemical events,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,62
2010,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Radionuclear emergencies,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,0
2011,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Radionuclear emergencies,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,8
2012,Obs_Value = 0;  WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Radionuclear emergencies,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,0
2013,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Radionuclear emergencies,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,31
2017,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,IHR Capacity: Radionuclear emergencies,WHO standard questionaire for IHR Annual reporting from years 2010 to 2017	  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-,IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,69
2018,"SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ ) and disseminated to WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/",IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ).,State Party Annual Report: Legislation and Financing,SPAR questionaire for IHR Annual reporting same as 2018 and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ ) and disseminated to WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework),IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ).,47
